20160324-M-Miami_Masters-R128-Tommy_Paul-Tim_Smyczek,tommy paul,tim smyczek,tim smyczek
20160324-M-Miami_Masters-R128-John_Millman-Pablo_Carreno_Busta,john millman,pablo carreno busta,john millman
20160324-M-Miami-R128-Elias_Ymer-Federico_Delbonis,elias ymer,federico delbonis,federico delbonis
20160323-M-Miami_Masters-R128-Michael_Mmoh-Alexander_Zverev,michael mmoh,alexander zverev,alexander zverev
20160323-M-Guadalajara_CH-R16-Dennis_Novikov-Eduardo_Struvay,dennis novikov,eduardo struvay,dennis novikov
20160320-M-Indian_Wells_Masters-F-Milos_Raonic-Novak_Djokovic,milos raonic,novak djokovic,novak djokovic
20160319-M-Indian_Wells_Masters-SF-Rafael_Nadal-Novak_Djokovic,rafael nadal,novak djokovic,novak djokovic
20160317-M-Indian_Wells_Masters-QF-Marin_Cilic-David_Goffin,marin cilic,david goffin,david goffin
20160316-M-Indian_Wells_Masters-R16-Jo_Wilfried_Tsonga-Dominic_Thiem,jo wilfried tsonga,dominic thiem,jo wilfried tsonga
20160316-M-Indian_Wells_Masters-R16-Gael_Monfils-Federico_Delbonis,gael monfils,federico delbonis,gael monfils
20160315-M-Indian_Wells_Masters-R32-Gilles_Simon-Alexander_Zverev,gilles simon,alexander zverev,alexander zverev
20160314-M-Indian_Wells_Masters-R32-Stanislas_Wawrinka-Andrey_Kuznetsov,stanislas wawrinka,andrey kuznetsov,stanislas wawrinka
20160312-M-Indian_Wells_Masters-R64-Stanislas_Wawrinka-Illya_Marchenko,stanislas wawrinka,illya marchenko,stanislas wawrinka
20160312-M-Indian_Wells_Masters-R64-Milos_Raonic-Inigo_Cervantes_Huegun,milos raonic,inigo cervantes huegun,milos raonic
20160312-M-Indian_Wells_Masters-R64-Jeremy_Chardy-Andrey_Kuznetsov,jeremy chardy,andrey kuznetsov,andrey kuznetsov
20160310-M-Puebla_CH-R16-Dennis_Novak-Agustin_Velotti,dennis novak,agustin velotti,agustin velotti
20160310-M-Indian_Wells_Masters-R128-Pablo_Carreno_Busta-Evgeny_Donskoy,pablo carreno busta,evgeny donskoy,pablo carreno busta
20160310-M-Indian_Wells_Masters-R128-Noah_Rubin-Rajeev_Ram,noah rubin,rajeev ram,rajeev ram
20160310-M-Indian_Wells_Masters-R128-Damir_Dzumhur-Marcel_Granollers,damir dzumhur,marcel granollers,marcel granollers
20160307-M-Puebla_CH-Q3-Fernando_Romboli-Stefano_Napolitano,fernando romboli,stefano napolitano,stefano napolitano
20160304-M-Quimper_CH-QF-Paul_Henri_Mathieu-Igor_Sijsling,paul henri mathieu,igor sijsling,paul henri mathieu
20160228-M-Sao_Paulo-F-Pablo_Cuevas-Pablo_Carreno_Busta,pablo cuevas,pablo carreno busta,pablo cuevas
20160227-M-Dubai-F-Stanislas_Wawrinka-Marcos_Baghdatis,stanislas wawrinka,marcos baghdatis,stanislas wawrinka
20160227-M-Cherbourg_CH-SF-Jordan_Thompson-Vincent_Millot,jordan thompson,vincent millot,jordan thompson
20160226-M-Sao_Paulo-QF-Pablo_Cuevas-Thiago_Monteiro,pablo cuevas,thiago monteiro,pablo cuevas
20160226-M-Sao_Paolo-R16-Inigo_Cervantes_Huegun-Federico_Delbonis,inigo cervantes huegun,federico delbonis,inigo cervantes huegun
20160225-M-Cherbourg_CH-R16-Ramkumar_Ramanathan-Adam_Pavlasek,ramkumar ramanathan,adam pavlasek,adam pavlasek
20160223-M-Cherbourg_CH-R32-Jurgen_Zopp-Jordan_Thompson,jurgen zopp,jordan thompson,jordan thompson
20160221-M-Rio_de_Janeiro-F-Guido_Pella-Pablo_Cuevas,guido pella,pablo cuevas,pablo cuevas
20160221-M-Delray_Beach-F-Sam_Querrey-Rajeev_Ram,sam querrey,rajeev ram,sam querrey
20160220-M-Rio_de_Janeiro-SF-Dominic_Thiem-Guido_Pella,dominic thiem,guido pella,guido pella
20160220-M-Marseille-SF-Tomas_Berdych-Nick_Kyrgios,tomas berdych,nick kyrgios,nick kyrgios
20160220-M-Marseille-QF-Stanislas_Wawrinka-Benoit_Paire,stanislas wawrinka,benoit paire,benoit paire
20160219-M-Wroclaw_CH-QF-Albano_Olivetti-Dustin_Brown,albano olivetti,dustin brown,dustin brown
20160219-M-Marseille-QF-Richard_Gasquet-Nick_Kyrgios,richard gasquet,nick kyrgios,nick kyrgios
20160219-M-Marseille-QF-Marin_Cilic-Andrey_Kuznetsov,marin cilic,andrey kuznetsov,marin cilic
20160219-M-Delray_Beach-QF-Juan_Martin_Del_Potro-Jeremy_Chardy,juan martin del potro,jeremy chardy,juan martin del potro
20160218-M-Rio_de_Janeiro-R16-Inigo_Cervantes_Huegun-Alexandr_Dolgopolov,inigo cervantes huegun,alexandr dolgopolov,alexandr dolgopolov
20160218-M-Delray_Beach-R16-Sam_Querrey-Austin_Krajicek,sam querrey,austin krajicek,sam querrey
20160216-M-Delray_Beach-R32-Juan_Martin_Del_Potro-Denis_Kudla,juan martin del potro,denis kudla,juan martin del potro
20160213-M-Memphis-SF-Taylor_Harry_Fritz-Ricardas_Berankis,taylor harry fritz,ricardas berankis,taylor harry fritz
