20131107-M-Tour_Finals-RR-Richard_Gasquet-Roger_Federer,richard gasquet,roger federer,roger federer
20131107-M-Tour_Finals-RR-Novak_Djokovic-Juan_Martin_Del_Potro,novak djokovic,juan martin del potro,novak djokovic
20131104-M-Tour_Finals-RR-Richard_Gasquet-Juan_Martin_Del_Potro,richard gasquet,juan martin del potro,juan martin del potro
20131027-M-Basel-F-Juan_Martin_Del_Potro-Roger_Federer,juan martin del potro,roger federer,juan martin del potro
20121112-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,roger federer,novak djokovic,novak djokovic
