20150731-M-Gstaad-QF-Pablo_Andujar-Thomaz_Bellucci,pablo andujar,thomaz bellucci,thomaz bellucci
20150726-M-Bastad-F-Tommy_Robredo-Benoit_Paire,tommy robredo,benoit paire,benoit paire
20150724-M-Bastad-QF-Alexander_Zverev-Thomaz_Bellucci,alexander zverev,thomaz bellucci,alexander zverev
20150723-M-Bastad-R16-Pablo_Cuevas-Federico_Delbonis,pablo cuevas,federico delbonis,pablo cuevas
20150723-M-Bastad-R16-Albert_Ramos-Tommy_Robredo,albert ramos,tommy robredo,tommy robredo
20150721-M-Umag-R32-Jiri_Vesely-Fabio_Fognini,jiri vesely,fabio fognini,fabio fognini
20150607-M-Roland_Garros-F-Stanislas_Wawrinka-Novak_Djokovic,stanislas wawrinka,novak djokovic,stanislas wawrinka
20150603-M-Roland_Garros-QF-Novak_Djokovic-Rafael_Nadal,novak djokovic,rafael nadal,novak djokovic
20150531-M-Roland_Garros-R16-Roger_Federer-Gael_Monfils,roger federer,gael monfils,roger federer
20150530-M-Roland_Garros-R32-Nick_Kyrgios-Andy_Murray,nick kyrgios,andy murray,andy murray
20150528-M-Roland_Garros-R64-Jeremy_Chardy-John_Isner,jeremy chardy,john isner,jeremy chardy
20150524-M-Nice-F-Leonardo_Mayer-Dominic_Thiem,leonardo mayer,dominic thiem,dominic thiem
20150522-M-Nice-SF-Leonardo_Mayer-Borna_Coric,leonardo mayer,borna coric,leonardo mayer
20150522-M-Geneva-F-Joao_Sousa-Thomaz_Bellucci,joao sousa,thomaz bellucci,thomaz bellucci
20150521-M-Nice-QF-Leonardo_Mayer-Juan_Monaco,leonardo mayer,juan monaco,leonardo mayer
20150520-M-Geneva-QF-Albert_Ramos-Thomaz_Bellucci,albert ramos,thomaz bellucci,thomaz bellucci
20150519-M-Geneva-R16-Lukas_Rosol-Stanislas_Wawrinka,lukas rosol,stanislas wawrinka,stanislas wawrinka
20150515-M-Rome_Masters-QF-Roger_Federer-Tomas_Berdych,roger federer,tomas berdych,roger federer
20150515-M-Rome_Masters-QF-Novak_Djokovic-Kei_Nishikori,novak djokovic,kei nishikori,novak djokovic
20150514-M-Rome_Masters-R16-John_Isner-Rafael_Nadal,john isner,rafael nadal,rafael nadal
20150513-M-Rome_Masters-R32-Jeremy_Chardy-Andy_Murray,jeremy chardy,andy murray,andy murray
20150512-M-Rome_Masters-R64-Nick_Kyrgios-Feliciano_Lopez,nick kyrgios,feliciano lopez,feliciano lopez
20150512-M-Rome_Masters-R64-Marin_Cilic-Guillermo_Garcia_Lopez,marin cilic,guillermo garcia lopez,guillermo garcia lopez
20150509-M-Madrid_Masters-SF-Kei_Nishikori-Andy_Murray,kei nishikori,andy murray,andy murray
20150509-M-Madrid_Masters-F-Andy_Murray-Rafael_Nadal,andy murray,rafael nadal,andy murray
20150507-M-Madrid_Masters-R16-Tomas_Berdych-Jo_Wilfried_Tsonga,tomas berdych,jo wilfried tsonga,tomas berdych
20150507-M-Madrid_Masters-R16-John_Isner-Nick_Kyrgios,john isner,nick kyrgios,john isner
20150507-M-Madrid_Masters-R16-Grigor_Dimitrov-Stanislas_Wawrinka,grigor dimitrov,stanislas wawrinka,grigor dimitrov
20150506-M-Madrid_Masters-R32-Leonardo_Mayer-Feliciano_Lopez,leonardo mayer,feliciano lopez,leonardo mayer
20150505-M-Madrid_Masters-R64-Fernando_Verdasco-Guillermo_Garcia_Lopez,fernando verdasco,guillermo garcia lopez,fernando verdasco
20150503-M-Istanbul-F-Roger_Federer-Pablo_Cuevas,roger federer,pablo cuevas,roger federer
20150502-M-Munich-QF-Philipp_Kohlschreiber-David_Goffin,philipp kohlschreiber,david goffin,philipp kohlschreiber
20150502-M-Munich-QF-Andy_Murray-Lukas_Rosol,andy murray,lukas rosol,andy murray
20150502-M-Istanbul-SF-Roger_Federer-Diego_Sebastian_Schwartzman,roger federer,diego sebastian schwartzman,roger federer
20150502-M-Istanbul-SF-Grigor_Dimitrov-Pablo_Cuevas,grigor dimitrov,pablo cuevas,pablo cuevas
20150501-M-Estoril-QF-Richard_Gasquet-Nicolas_Almagro,richard gasquet,nicolas almagro,richard gasquet
20150430-M-Munich-R16-Fabio_Fognini-Dominic_Thiem,fabio fognini,dominic thiem,dominic thiem
20150426-M-Bucharest-F-Guillermo_Garcia_Lopez-Jiri_Vesely,guillermo garcia lopez,jiri vesely,guillermo garcia lopez
20150425-M-Bucharest-SF-Jiri_Vesely-Daniel_Gimeno_Traver,jiri vesely,daniel gimeno traver,jiri vesely
20150424-M-Bucharest-QF-Lukas_Rosol-Guillermo_Garcia_Lopez,lukas rosol,guillermo garcia lopez,guillermo garcia lopez
20150424-M-Barcelona-QF-Roberto_Bautista_Agut-Kei_Nishikori,roberto bautista agut,kei nishikori,kei nishikori
20150423-M-Barcelona-R16-Kei_Nishikori-Santiago_Giraldo,kei nishikori,santiago giraldo,kei nishikori
20150420-M-Barcelona-R64-Pablo_Carreno_Busta-Teymuraz_Gabashvili,pablo carreno busta,teymuraz gabashvili,teymuraz gabashvili
20150418-M-Monte_Carlo_Masters-SF-Tomas_Berdych-Gael_Monfils,tomas berdych,gael monfils,tomas berdych
20150418-M-Monte_Carlo_Masters-SF-Novak_Djokovic-Rafael_Nadal,novak djokovic,rafael nadal,novak djokovic
20150417-M-Monte_Carlo_Masters-QF-Grigor_Dimitrov-Gael_Monfils,grigor dimitrov,gael monfils,gael monfils
20150417-M-Monte_Carlo_Masters-QF-David_Ferrer-Rafael_Nadal,david ferrer,rafael nadal,rafael nadal
20150416-M-Monte_Carlo_Masters-R16-Tomas_Berdych-Roberto_Bautista_Agut,tomas berdych,roberto bautista agut,tomas berdych
20150416-M-Monte_Carlo_Masters-R16-Roger_Federer-Gael_Monfils,roger federer,gael monfils,gael monfils
20150415-M-Monte_Carlo_Masters-R32-Stanislas_Wawrinka-Juan_Monaco,stanislas wawrinka,juan monaco,stanislas wawrinka
20150415-M-Monte_Carlo_Masters-R32-Jo_Wilfried_Tsonga-David_Goffin,jo wilfried tsonga,david goffin,jo wilfried tsonga
20150414-M-Monte_Carlo_Masters-R64-Dominic_Thiem-Lucas_Pouille,dominic thiem,lucas pouille,lucas pouille
20150413-M-Monte_Carlo_Masters-R64-Borna_Coric-Alexandr_Dolgopolov,borna coric,alexandr dolgopolov,alexandr dolgopolov
20150408-M-Casablanca-R16-Carlos_Berlocq-Nicolas_Almagro,carlos berlocq,nicolas almagro,nicolas almagro
20150406-M-Casablanca-R32-Carlos_Berlocq-Pablo_Carreno_Busta,carlos berlocq,pablo carreno busta,carlos berlocq
20150223-M-Buenos_Aires-QF-Rafael_Nadal-Federico_Delbonis,rafael nadal,federico delbonis,rafael nadal
20150219-M-Rio_De_Janeiro-R16-Rafael_Nadal-Pablo_Carreno_Busta,rafael nadal,pablo carreno busta,rafael nadal
20150217-M-Rio_de_Janeiro-R32-Thomaz_Bellucci-Rafael_Nadal,thomaz bellucci,rafael nadal,rafael nadal
20150214-M-Sao_Paulo-SF-Santiago_Giraldo-Pablo_Cuevas,santiago giraldo,pablo cuevas,pablo cuevas
20150213-M-Sao_Paulo-QF-Santiago_Giraldo-Fabio_Fognini,santiago giraldo,fabio fognini,santiago giraldo
20150213-M-Sao_Paulo-QF-Nicolas_Almagro-Pablo_Cuevas,nicolas almagro,pablo cuevas,pablo cuevas
20141123-M-Davis_Cup_World_Group_F-RR-Richard_Gasquet-Roger_Federer,richard gasquet,roger federer,roger federer
20140730-M-Kitzbuhel-R16-Dominic_Thiem-Jiri_Vesely,dominic thiem,jiri vesely,dominic thiem
20140727-M-Umag-SF-Marin_Cilic-Tommy_Robredo,marin cilic,tommy robredo,tommy robredo
20140711-M-Bastad-QF-Fernando_Verdasco-Pablo_Carreno_Busta,fernando verdasco,pablo carreno busta,fernando verdasco
